location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,52.784428,90.3937,60.57468,4982,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,7.842232,41.966816,27.3432,4982,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,25.489761,83.297035,34.530903,4982,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,56.850666,124.850136,47.632347,4982,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,28.535328,37.33959,79.20561,4982,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,49.926537,103.57747,50.587418,4982,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,74.96146,156.09135,49.637337,4982,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,66.91589,38.83112,164.07497,4982,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,103.29346,118.13752,87.94514,4982,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,137.96387,189.2731,73.58912,4982,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,9.58069,15.919156,69.70019,4982,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,105.031906,92.08987,113.329956,4982,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,144.48132,201.16473,72.50577,4982,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,3.8759534,8.6804695,64.88048,4982,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,80.372536,63.430744,124.757576,4982,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,145.20291,204.03543,71.85524,4982,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,5.360498,8.186384,78.56967,4982,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,18.817142,32.78601,63.03164,4982,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,143.82416,207.04779,70.18426,4982,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,1.3653151,2.0329988,90.50641,4982,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,10.601767,18.899853,65.279755,4982,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,141.12343,194.28676,73.323204,4982,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,0.6358892,0.8396829,96.51019,4982,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,7.361702,11.059066,76.97646,4982,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,137.66078,178.06729,77.928055,4982,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,0.71196306,0.86488694,97.39256,4982,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,2.7131672,3.7375686,88.275894,4982,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,124.82376,154.6611,81.31208,4982,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,2.8076923,19.192308,32.27345,26,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,61.846153,79.66282,78.95574,26,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,246.73076,290.24487,85.26169,26,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,36.076923,21.137178,157.15898,26,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,76.46154,75.40128,101.3187,26,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,270.0,294.71667,91.75332,26,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,6.8076925,18.716667,49.786476,26,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,45.69231,59.046154,79.14965,26,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,267.03842,290.2987,92.12313,26,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,9.692307,12.447435,84.208984,26,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,52.576923,52.30128,100.48105,26,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,252.11537,251.28975,100.322136,26,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,7.0,16.676922,55.358418,26,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,23.5,47.841026,53.935368,26,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,226.26923,220.49487,102.560745,26,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,26.423077,9.408975,218.0799,26,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,43.115383,38.533333,110.52538,26,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,176.11539,185.65129,94.998245,26,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,5.8076925,29.485897,31.339455,26,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,39.23077,55.571796,73.02206,26,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,153.65385,187.53589,82.40222,26,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,4.730769,27.201283,30.218578,26,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,36.96154,66.09615,59.02083,26,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,136.92308,189.33846,73.028824,26,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,35.03846,38.369232,92.31996,26,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,45.57692,95.05641,50.548405,26,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,3-month,134.38461,192.6359,70.52596,26,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,dekad,14.230769,57.6141,30.713161,26,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE047,Nairobi,,,1,51328,,1-month,54.0,123.184616,46.027367,26,final,2022-04-01,2022-04-10
